Route_ID,Starting_Point,Ending_Point,Intermediate_Stops,Distance,Estimated_Travel_Time,Type_of_Transportation,Frequency_of_Service,Time_Schedule,Days_of_Operation,Special_Schedules
R34,East Jeffreyville,Kelleymouth,"['Zimmermanstad', 'Phillipsberg', 'Debbieview', 'Rhondaland']",13.893040790808294,21,bus,2,06:22:46,Weekdays,
R35,West Justinborough,Johnchester,['Williamsport'],14.054063733688583,28,subway,5,04:49:27,Weekends,
R36,South Christopher,Millerstad,"['East Monicaburgh', 'Rubenstad', 'West Thomasborough', 'Turnerview']",16.578781787624273,31,bus,1,22:37:50,Weekdays,Effort candidate number until man indeed page.
R37,Port Katherinechester,Jamesside,"['North Oliviaview', 'Heiditon']",7.569276945254719,37,bus,2,03:55:11,Weekdays,
R38,Garnerborough,Lawsonberg,"['South Amyfort', 'Tanyachester', 'New Donaldborough', 'New Michellemouth']",7.004139924409754,30,tram,3,12:58:50,Weekends,
R39,Englishton,Laratown,"['New Carriehaven', 'Christinastad', 'Lake Laura', 'Kleinchester', 'Port Monicaland']",5.014239886995959,21,subway,2,07:40:00,Weekends,Would quality factor century peace include international.
R40,Freemanburgh,Sheilaport,"['Timothyberg', 'Lake Robertton', 'Lake Christy']",13.955955841837733,46,subway,1,10:43:43,Weekdays,Often wide decade create interest.
R41,Mosleyland,Connieborough,"['Williamsstad', 'Alvaradobury', 'Richberg', 'Mooreshire']",5.172153037852135,15,tram,2,04:56:35,Weekends,Reduce without themselves total town five hot.
R42,Smithstad,Lake Natalie,"['West Katrinaport', 'Lake Stevenchester']",17.888886479770328,60,subway,4,08:16:43,Weekends,Tv ago dinner eat view.
R43,Berryville,Richardsview,['Elliottbury'],7.6739158987305345,60,subway,5,10:04:38,Weekdays,Benefit two then.
R44,Anthonyville,North Jillborough,['South William'],19.383559705850253,21,tram,2,16:04:57,Weekdays,Visit natural thought heavy usually yourself guy.
R45,North Kelly,Marychester,"['Keithchester', 'East Shannonborough', 'Port Samuelview', 'Lake Ana']",5.8084751378633594,23,tram,1,19:57:01,Weekends,
R46,Hancockville,East Sarah,"['Port Joyce', 'East Kari', 'Port Barbara', 'New Courtneyfurt']",13.282852888663935,43,tram,2,22:29:34,Weekdays,
R47,South Jennifer,North Darrenstad,"['Rickyville', 'Port Dawn', 'Cynthiabury']",7.481738885807245,26,bus,3,06:46:53,Weekdays,
R48,Port Kelseyhaven,East Heatherbury,"['Tammyhaven', 'Reesechester', 'Hendersonshire']",7.8532393011973864,29,subway,5,16:41:17,Weekdays,
R49,East Stephanieburgh,Danielton,"['Matthewfort', 'Sergioburgh', 'East Kennethtown', 'Jennifermouth', 'West Joseph']",8.73763996029037,44,tram,1,14:42:19,Weekdays,Tend travel institution main.
R50,Harrisonberg,West Eddiefort,"['East David', 'South Samanthaberg', 'Sullivanfurt']",17.13308341326031,35,subway,1,06:44:39,Weekends,Low last manage mission best.
R51,Wrightburgh,Alisonfurt,"['New Christopher', 'New Timothy', 'North Kimberlymouth', 'New Marissa', 'East Alvin']",7.192429492127186,37,subway,3,12:20:42,Weekends,
R52,East Angela,Johnsonfort,"['Byrdberg', 'Garrettbury', 'Port Lauren', 'Janicemouth']",17.780494049661783,19,subway,3,10:48:24,Weekdays,Find even look far certain shake.
R53,Gregoryburgh,Kaylamouth,"['Port Johnfurt', 'Stantonborough', 'East Joseph']",9.593868618005704,51,bus,1,02:51:46,Weekdays,
R54,Christopherborough,East Peggy,"['Marthahaven', 'North Cameronfurt', 'Jacobville', 'Vargasbury']",16.408282486928194,17,subway,5,19:26:22,Weekends,Imagine lawyer customer food over board seem.
R55,Limouth,New Heather,"['East Evelyn', 'Port Sarah', 'Martinburgh', 'East Amanda']",13.755273455053745,32,bus,4,00:40:53,Weekdays,
R56,New Kennethview,Waltersmouth,['West Rubenview'],11.023421745263303,43,bus,5,07:36:27,Weekends,Indicate late day exactly we well poor.
R57,Timothyport,North Donnabury,['Wallaceborough'],16.021490994333167,50,subway,5,07:01:58,Weekdays,Number seem beyond simple.
R58,Ricardoside,East Erikaton,"['Port Bethside', 'Nancyview', 'Barbarastad', 'West Kristine', 'West Michael']",13.920453346844692,58,bus,3,05:20:47,Weekends,Relate building admit until too.
R59,Dawsonshire,Port Jeremyton,"['Port Fernandoton', 'West Hollyborough', 'New Valeriefort']",8.144915364097633,44,bus,5,23:05:13,Weekdays,Call cost management tonight.
R60,North Jessicastad,Clayland,['North Melissa'],19.997886594596736,28,tram,4,21:40:42,Weekends,
R61,South Jeffreyside,Staceyberg,['Jacksonmouth'],18.26154276740519,38,subway,3,00:51:00,Weekdays,
R62,Port Jennifermouth,West Richardmouth,"['Kingbury', 'Hernandezview', 'Port Melissa']",12.301806827862798,20,bus,4,07:50:34,Weekends,
R63,East Johnfurt,Kendrafort,"['Lake Laurabury', 'Michaelport']",18.130362901714346,26,tram,5,06:39:13,Weekdays,
R64,East Catherinemouth,Christopherfurt,"['Andrewfurt', 'Michaeltown', 'Andersonton']",19.83925381996434,55,subway,5,18:40:19,Weekdays,Try necessary result however news.
R65,Wilkinsonton,Alvareztown,"['East Jason', 'South Coltonview', 'Nicholashaven']",14.197834070435867,23,subway,5,12:58:08,Weekdays,Ball sit prepare behavior what figure.
R66,Lake Richardhaven,Luisside,['Adamton'],12.8957393004087,30,tram,2,08:09:05,Weekdays,
R67,Martinezberg,Lake Frederick,"['Lake Marissaborough', 'Jeffreyland', 'Lake Lisa', 'Lake David', 'Smithmouth']",14.410105628811621,39,subway,4,05:41:24,Weekdays,Learn agree dog deep enough education various.
R68,North Kevin,Brittneyburgh,"['New Jeffreyville', 'Port John', 'South Courtneybury']",12.080913640489698,40,tram,5,14:04:23,Weekends,Consumer improve can vote door.
R69,Lake Mitchellberg,North Debbieside,"['Robertport', 'North Linda', 'New Alanfort', 'Jamesborough', 'East Michelle']",13.812335486350191,33,subway,5,04:28:30,Weekends,
R70,East Frederickstad,Richardsonfurt,['Bennettshire'],6.863723333483361,59,tram,4,11:06:09,Weekdays,
R71,New Rachel,Valentineland,"['West Clifford', 'Port Barbara']",16.202261134526495,44,tram,1,18:27:28,Weekends,Success plant example middle course imagine she window.
R72,Hartton,Port Michaeltown,"['Port Sherrymouth', 'North Jasonborough', 'Williamsside']",12.15791527487636,54,tram,1,09:34:54,Weekdays,
R73,Lake Jerryfurt,Ginafort,"['New Markfurt', 'Port Aaron', 'Bradleyside', 'South Kaitlin', 'Port Crystalview']",14.346828356310516,19,bus,4,17:01:02,Weekdays,
R74,West Jeffrey,North Kristinahaven,"['West Jerry', 'Jamieville', 'New Steven', 'East Lindaport']",19.93695596556011,60,subway,2,21:26:47,Weekdays,
R75,Kimberlytown,Martintown,"['Charlesside', 'Gregborough', 'Jeffreystad']",17.112928177104855,46,bus,1,18:59:47,Weekends,Reveal member including laugh.
R76,Jessicashire,North Chad,"['New Andrew', 'West Miranda']",13.551971853503813,44,subway,3,07:40:21,Weekends,
R77,West Jeffreyton,Blakeport,"['West Gabrielle', 'Chapmanmouth', 'Danaside', 'Ericachester']",16.459589705687865,18,bus,1,02:12:29,Weekends,Section century trip act at she.
R78,Lake Samantha,Diazfurt,"['Jonview', 'Coxport', 'Toniton', 'North Jenna', 'Jeffreymouth']",5.800320427275941,37,tram,5,05:21:32,Weekends,
R79,Franklinstad,Kaitlynhaven,"['Lake Stacey', 'Isabellaview', 'Port Erikstad', 'Perryton']",15.499450062227401,45,tram,5,00:08:56,Weekends,Social think reflect affect.
R80,Pammouth,Lopezburgh,"['Robinsonton', 'North Tiffany', 'Elizabethview', 'Lake Danielleville', 'Ianborough']",11.755523201923978,49,bus,4,16:23:39,Weekdays,Glass discussion president think someone concern.
R81,Cooperborough,Sanfordbury,"['Port Joseph', 'Terryberg']",11.931784487913575,55,subway,4,04:42:01,Weekdays,Ready whatever indeed professor artist gun.
R82,Taylorton,South Brian,['Masonhaven'],11.573754581486693,22,bus,1,10:51:42,Weekends,College early develop memory event call.
R83,Carsonport,East Brianna,"['South Jillstad', 'New Jacquelineburgh']",18.417192778422347,25,bus,1,06:09:33,Weekdays,
R84,South Mackenzie,Williamside,"['Leeview', 'Jonathanburgh', 'Lake Aprilhaven', 'Rodriguezville']",15.463212098801874,51,subway,1,17:53:51,Weekends,
R85,New Dawn,Stevemouth,"['Lake Mariohaven', 'Stephaniemouth']",10.915737987129047,43,bus,2,17:35:39,Weekends,Nice citizen chair artist.
R86,Heathermouth,Hebertberg,"['Nicoletown', 'Barbarahaven', 'Port Cindy', 'East Christinatown']",14.063118929923663,18,bus,1,07:27:20,Weekdays,Central station happen artist happen.
R87,West Bobbyhaven,New Larry,"['Hinestown', 'Lake Travis', 'Trevorland', 'Mitchelltown', 'Matthewsmouth']",9.270904785918,23,bus,4,18:47:23,Weekdays,
R88,East Janice,New Joelshire,"['Marystad', 'Smithmouth']",6.035434384745308,27,bus,2,00:05:36,Weekends,Go south throughout expect goal Mr.
R89,East Geraldmouth,Johnathanport,"['East Bryan', 'West Jasonmouth', 'Lucastown']",13.339648873899845,43,bus,1,19:45:14,Weekends,Right left manager activity interesting.
R90,South Shane,New Zacharyport,"['Sarahburgh', 'South Amanda', 'Lake Christina', 'North Angelaside']",5.119586418659087,45,bus,4,16:59:07,Weekdays,Sell sit together whether store serve beyond.
R91,New Wesley,Jeffreystad,"['Susanchester', 'South Martha', 'New Adamfurt', 'South Diana']",8.44466434345598,34,tram,2,03:25:23,Weekends,Class hour with because middle.
R92,South Johnfort,Ryanview,['North Jenniferburgh'],16.42542679894619,21,bus,5,20:04:11,Weekdays,
R93,New Dalton,West Charles,"['Davilashire', 'North Carrie', 'East Zachary', 'Lake Brandonberg']",16.28264733533226,37,bus,5,08:25:16,Weekends,
R94,Lopezport,Danielletown,"['South Lisa', 'East Bradleybury', 'Kristietown']",12.560098267406055,40,bus,3,03:54:23,Weekends,
R95,Deannaberg,Lake Sarahmouth,"['Adamsside', 'East Masonburgh', 'Jaimeview']",7.239086370694748,47,bus,4,21:20:14,Weekdays,
R96,Bradleyton,Toddbury,"['New Larryland', 'Colechester', 'Jameschester']",10.933226653687509,25,tram,4,12:07:02,Weekends,
R97,Brownberg,Port James,"['Lake Jennaport', 'South Daniel', 'Garrettchester', 'Sydneyfurt', 'Wilsontown']",6.585739672423967,60,bus,2,19:47:43,Weekdays,Try particular head say.
R98,Kathrynstad,Johnsonhaven,"['Russellshire', 'East Lawrenceside', 'New Jessica', 'Lake Jillbury', 'South Rebecca']",17.97717280512433,35,tram,1,13:10:10,Weekdays,Provide for challenge actually price claim.
R99,Jeremyport,Port Lauraton,"['East Ericland', 'North Andrea', 'Gabrielhaven']",17.47031808562811,51,tram,3,15:46:26,Weekdays,
R100,Port Henrytown,East Sara,"['Smithbury', 'Lake Kenneth', 'Joycefurt', 'Randyton', 'East Colleenmouth']",13.717068377938068,58,bus,1,11:26:25,Weekends,Drug would score itself government resource less computer.
R101,Johnmouth,New Nicolasfort,"['Davidshire', 'Rickymouth', 'Ramirezton']",5.081369186440312,15,bus,4,05:56:31,Weekends,
R102,North Victoriafurt,South Angelamouth,"['Leechester', 'West Stephen']",8.52632971728006,44,bus,2,23:56:13,Weekends,
R103,Michaelstad,New Nicholaston,['South Samanthaland'],18.627840801138525,19,bus,1,01:58:51,Weekdays,
R104,Andersonton,South Samanthaside,"['Lake Michael', 'East Kevinmouth', 'Carolinechester', 'Lloydshire']",17.965026913485158,57,bus,1,22:23:20,Weekends,Really human whole teacher thousand mean.
R105,Richardton,Lake Ralph,"['Hayesport', 'Bryantmouth', 'Lake Carrie', 'Murrayfurt']",13.665694534856055,48,tram,2,17:25:08,Weekends,
R106,Lake Lauratown,North Pamelamouth,"['North Joan', 'North Patrickmouth', 'Garrisontown']",12.590206203376972,45,tram,5,05:22:07,Weekdays,
R107,South Amy,Aguilarside,"['East James', 'South Mary', 'Lake Karen', 'Oconnellside']",17.12093908717619,21,tram,4,03:00:31,Weekends,Think great million her investment job want.
R108,Lopeztown,Woodardstad,"['Davidborough', 'North Gabriel', 'North Katherine']",17.224808240152097,48,subway,5,06:44:29,Weekdays,
R109,West Tonya,New Roger,"['South Regina', 'Jacquelinetown', 'West Pamela', 'Richardshire', 'Amandaport']",8.07935829235974,51,bus,4,12:26:13,Weekdays,East leave consider add though.
R110,Burtonton,East Kelly,"['Tapiaburgh', 'East Joseph', 'West Katherinefort', 'Jonesview', 'East Tiffany']",15.580023260432668,53,tram,5,22:45:57,Weekends,
R111,Michaelfort,Lake Bethview,"['Herringville', 'Knappfort', 'Lake Marie']",19.070069586618814,21,tram,3,07:47:27,Weekends,Floor song by face.
R112,Lake Ginaton,Port James,['Maldonadobury'],14.19778270403906,15,subway,1,07:53:44,Weekends,
R113,Ritterton,New Philipside,"['Stephaniefurt', 'East Danielbury']",17.35244353074951,33,bus,3,08:06:32,Weekends,
R114,Jonesstad,Clarkhaven,"['Maryville', 'Crystaltown', 'Port Rebeccaburgh', 'Port Antoniotown', 'Lake Scott']",12.515542271268652,34,tram,1,17:31:57,Weekends,Address together student environmental class.
R115,North David,East Debrahaven,"['North Josephberg', 'South Conniebury']",18.787530789162787,39,bus,4,09:20:12,Weekdays,Difficult traditional indeed.
R116,Lucasmouth,Scottstad,"['East Travis', 'Robinsonside']",8.776991501426636,50,subway,1,01:20:42,Weekends,
R117,South Dennisview,West Rebecca,"['Brendaville', 'New Douglasville', 'Lake Benjaminmouth', 'North Jennifer']",13.101993319413188,47,tram,2,05:07:05,Weekdays,Whether major responsibility visit manage school minute.
R118,North William,Carneyhaven,"['Wadeville', 'South Miguel', 'Port Frankburgh', 'East Joshuaberg']",11.559106499238474,41,subway,2,01:36:40,Weekends,Pass election move debate pay nor force.
R119,Kaylamouth,Andrewshaven,"['Jesusburgh', 'New Melanie', 'Lake Michaelport', 'Tuckerfurt']",11.669769976306608,56,subway,3,18:47:54,Weekdays,Civil it feeling just argue big soon.
R120,East Sarah,Rachelborough,"['Dennisborough', 'Munozfurt', 'New Michelebury']",14.209233564275365,15,subway,3,15:14:52,Weekdays,Might game large remember.
R121,West Aliceport,West Edward,"['Lake Samuel', 'Jasonchester']",14.605084754471358,27,bus,3,22:20:15,Weekdays,
R122,North John,New Brett,"['Port Jeffrey', 'Thomaschester', 'Riverahaven', 'Bruceton', 'Katherineberg']",8.460228949262893,58,tram,1,20:34:12,Weekends,
R123,East Michael,Coxview,"['Rebekahmouth', 'Brandyview', 'South Geoffrey', 'New Nicholas', 'Brooksberg']",5.992683356170223,58,subway,5,19:23:38,Weekdays,
R124,Port Kellyberg,East Brendantown,['North William'],13.59404481420809,60,tram,3,11:30:54,Weekends,But radio of always edge town.
R125,North Jennifer,Maryborough,['Port Kevin'],15.724517165681142,18,subway,1,11:56:42,Weekends,
R126,Elizabethside,East Juan,"['Smithhaven', 'Kennethport']",14.49369173300159,29,bus,5,08:53:31,Weekdays,Film need manage we minute guess development.
R127,East Vanessa,Joseville,"['Nathanfurt', 'Lake Blakechester', 'West Lucas', 'South Anthonyberg', 'New Carl']",7.742787190599713,50,subway,4,02:47:10,Weekends,
R128,Janiceside,Ramosmouth,"['Christophertown', 'Bradleyhaven', 'Austinmouth', 'Port Kurtfurt', 'Charlesborough']",9.100519456091403,56,bus,3,01:02:34,Weekdays,But school address prove.
R129,Port Kelly,West Sharonton,"['Port Albertshire', 'Laurenport', 'New Meredith', 'Taylorbury']",6.831641572410398,54,bus,1,17:02:35,Weekdays,Similar month fast teacher morning.
R130,Brianborough,Josephmouth,"['West Jenniferside', 'Paynehaven', 'Port Cheryl']",10.08801109813266,42,subway,2,13:58:38,Weekends,
R131,North Maria,Heathchester,"['Howardside', 'Tonyaberg', 'Samanthatown', 'East Chadville']",12.33823545304114,37,bus,1,02:17:23,Weekdays,
R132,Huangshire,North Victorialand,"['Lake Ashleyfort', 'North Stephen', 'Lake Jamiefort', 'West Roystad']",5.5232734820218194,42,subway,4,09:41:49,Weekends,Itself shake assume score positive western.
R133,Lake Sandraberg,East Christophertown,"['West Ashleyport', 'Jonathanton', 'New Brenda', 'Taylormouth', 'Port Stevenbury']",18.16923337614059,33,bus,2,22:05:33,Weekends,Subject fact community half identify reduce exist.
R134,Kimberlyville,Clarenceton,"['Lisamouth', 'North Stevenmouth', 'Aaronburgh', 'West Alecstad']",17.045259213136823,36,subway,3,15:03:49,Weekends,
R135,Lanefurt,Port Tonya,"['Jenniferbury', 'Port Adam', 'Hicksfurt', 'North Sarahburgh']",13.490364349055298,41,subway,1,01:15:21,Weekends,Morning still memory way create specific.
R136,New Nicholas,Brooksmouth,"['Sandraton', 'North Meganbury', 'Rachelfurt']",12.158304783968315,54,bus,3,11:20:11,Weekends,
R137,Smithfort,Lake Crystal,['Ryanton'],12.414573295053803,47,bus,3,18:40:03,Weekdays,Majority off thousand design inside do office number.
R138,Johnsonside,West James,"['Port Emilyville', 'Jeffreyville', 'New Amy']",5.645523471722685,36,subway,2,06:47:06,Weekends,
R139,North Cheryl,West Andrew,"['Justinmouth', 'Bishopshire', 'South Daniel', 'East Jennifer']",5.6196903912165554,48,subway,1,04:00:45,Weekends,Those approach yeah bag.
R140,Lake Donna,North Michaelberg,['Parkerville'],14.556310384519021,41,subway,3,09:18:42,Weekends,
R141,West Christine,South Samuelview,"['Lake Brianton', 'South Frances', 'New Nicholasberg', 'South Loriside', 'Rossshire']",18.62836950635479,38,subway,4,13:53:56,Weekends,
R142,Chavezburgh,Patrickland,"['East Danielle', 'Lake Matthewton', 'Sandrafort', 'Loriland']",6.268803836203365,60,bus,4,18:33:13,Weekends,
R143,East Elizabeth,Gomezstad,"['Lake Christon', 'East Brett', 'Port Amy', 'Jenniferburgh', 'Mooremouth']",12.949845602372914,18,bus,4,20:04:53,Weekends,
R144,Port Seanton,West Douglas,"['Matthewstad', 'Lake Courtneybury', 'Harristown', 'Denisestad', 'West Amanda']",11.389585710397546,54,bus,5,03:31:03,Weekends,
R145,Port Paige,Onealburgh,"['Frenchberg', 'Lake Erintown', 'Micheleburgh']",12.556145654654863,15,subway,3,14:25:06,Weekdays,Call major feel sit left rise behavior.
R146,New Charles,South Alfredview,['West Patricia'],9.293984684816003,32,subway,2,01:44:11,Weekdays,Dinner require marriage rock traditional reach.
R147,Danieltown,Ellisberg,"['Natashaborough', 'Ashleyview', 'North Melanie']",9.003815112841103,51,tram,3,12:27:51,Weekdays,Really color leader close imagine huge example.
R148,Scotthaven,Lake Ericfort,"['Robinsonland', 'Adamstown', 'Lake Joannaview']",9.893797330523316,56,tram,1,00:56:15,Weekdays,
R149,Port Elizabeth,East Gregory,"['Lake Cheryl', 'Port Connie', 'South Alexander', 'Garciaberg', 'Yvettefurt']",5.488100671139318,58,tram,5,06:37:22,Weekends,Scientist few fire yard tend instead theory.
R150,Lake Nicholasmouth,South Eileenstad,"['Toddfort', 'Jimenezstad', 'Dyerstad']",10.977644718084736,15,subway,5,13:04:16,Weekdays,
R151,South Nicholas,South Meghanport,"['West Yvonnechester', 'East Duaneside', 'Munozbury']",6.414182274896957,38,tram,2,13:44:39,Weekends,
R152,Millerfurt,North Tina,['New Kimberly'],16.74908786600166,59,bus,2,22:18:01,Weekdays,Response whether class add long choice still join.
R153,Stewartville,West Douglasmouth,"['Ashleyhaven', 'East Derekview', 'South Annatown']",7.760693640625417,55,bus,2,00:00:47,Weekends,Site player woman research cost.
R154,Curtisfort,Herreramouth,"['Manuelfort', 'Woodland', 'Phillipsfurt', 'West Randyfort', 'Port Deniseburgh']",14.48676026077827,31,bus,2,01:57:00,Weekdays,
R155,Tranton,South Christine,"['South Cheryl', 'West Kaitlynville']",7.3705242021550355,41,bus,5,09:20:59,Weekdays,Machine finish generation skill decision.
R156,New Briannaside,Josephmouth,['South Danielleton'],8.444313355074895,24,subway,1,14:13:38,Weekdays,Movie power run sign firm.
R157,Riveraside,Lake Dominiqueville,"['Lake Deannaton', 'West Brandi', 'Port April']",13.213971116734267,23,bus,4,14:53:59,Weekdays,
R158,New Brenda,South Stephanieberg,"['Kellyview', 'North John', 'Jamestown']",13.135205898739803,56,bus,3,15:56:37,Weekends,
R159,New Darren,South Janefort,"['South John', 'Amystad', 'Melissaburgh', 'Toddshire', 'Johnsonport']",11.374553302052188,52,bus,4,11:56:28,Weekdays,
R160,Port Bryanborough,South Scottburgh,"['West Theodore', 'South Juliafort']",12.541164874747128,36,subway,4,13:12:56,Weekdays,Blue front professor spend staff.
R161,Sheltonborough,Elizabethfort,"['Rebeccaville', 'East Stephanie', 'Alvinview', 'Lake David', 'Richardburgh']",14.089291660982797,30,bus,1,05:12:32,Weekdays,Alone approach turn perform.
R162,Tiffanyside,Patriciaview,"['Marybury', 'North Christopherchester', 'Lake Laurie', 'Reyesfort']",5.268606032942475,54,bus,2,04:40:37,Weekdays,Us less road sing first parent ever.
R163,Smithberg,Nashville,"['Lake Justin', 'West Jenniferborough', 'Justinfort']",17.49315448577275,52,tram,4,18:47:39,Weekends,Prepare camera Mrs drug how occur item local.
R164,Lake Ernest,Gomezfort,"['Davisville', 'Darrenfurt', 'West William', 'East Aprilhaven', 'North Michael']",6.189804332465716,40,subway,4,00:31:54,Weekends,
R165,Port Christian,Torresmouth,"['West Kenneth', 'Mitchellside']",9.515513621056813,47,bus,5,20:43:18,Weekends,
R166,Annshire,Andersonfurt,"['Katiechester', 'Isaiahview', 'Garciafurt', 'North Julieberg', 'Colonmouth']",6.6912109406804685,59,subway,3,03:52:37,Weekends,
R167,Lake Edwin,Brendastad,"['New Jenniferchester', 'Floresborough', 'Raymondhaven', 'Johnside', 'Dominicberg']",15.54846365097709,52,bus,2,17:08:22,Weekends,Though size so door face while.
R168,East Andrea,Moralesport,['Lake Patrick'],8.481607371423408,44,subway,5,00:14:06,Weekends,
R169,Daughertyview,Williamston,"['Wilsonview', 'Port Katherineton', 'Dicksonbury']",5.234435085075555,26,tram,2,05:43:35,Weekends,
R170,East Randallmouth,West Susanstad,"['Stephanieport', 'Lake Marvinmouth', 'South Lauren', 'Tommyburgh']",16.823621717522748,15,bus,1,22:30:23,Weekends,Amount alone remember discuss room join first.
R171,Carpenterbury,Smithside,"['South Stefaniemouth', 'Mercerborough', 'New Sandra', 'Jonestown', 'East Carmenbury']",12.926135998877417,59,tram,4,03:55:57,Weekdays,Raise president degree administration trip.
